CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26137190,COLEGIO NOVA OLINDA,70,31,10,16,Em Atividade,S,S,N,S,S,S,Privada,URBANA
26135543,ESCOLA NOSSA SENHORA DO MONTE,23,6,9,17,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26135555,ESCOLA ESCRITOR PAULO CAVALCANTI,43,13,13,28,Em Atividade,S,S,N,S,N,N,Pública,URBANA
26135590,ESCOLA MUNICIPAL VEREADOR JOSE MENDES DE LIMA,37,13,0,1,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26155702,ESCOLA MUNICIPAL 12 DE MARCO,45,2,13,14,Em Atividade,S,S,N,S,N,N,Pública,URBANA
26157993,COLEGIO PENSAR DE OLINDA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26145871,ESCOLA AJUDANDO A CRESCER,15,12,1,1,Em Atividade,S,S,N,S,N,S,Privada,URBANA
26144948,ESCOLA MUNICIPAL PRO MENOR,50,6,16,18,Em Atividade,S,N,N,S,N,N,Pública,URBANA
26144964,ESCOLA MUNICIPAL PROFESSORA NORMA COELHO - CAIC,60,50,16,20,Em Atividade,S,N,S,S,S,S,Pública,URBANA
26142708,COLEGIO DE SAUDE DE PERNAMBUCO,7,14,8,11,Em Atividade,S,S,S,S,N,N,Privada,URBANA
26142716,COLEGIO DOM,167,36,4,22,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26142724,COLEGIO MEMORIAL DE OLINDA,50,17,20,22,Em Atividade,S,S,N,S,S,N,Privada,URBANA
26142732,COLEGIO MEMORIAL DE OLINDA - ANEXO,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26500710,C L C COLEGIO E CURSO,220,7,10,10,Em Atividade,S,S,S,S,N,N,Privada,URBANA
26155753,ESCOLA MUNICIPAL ANTONIO CORREIA DA SILVA,57,15,10,11,Em Atividade,S,S,N,S,N,S,Pública,URBANA
26157292,EDUCANDARIO ACALANTO,31,18,6,7,Em Atividade,S,S,N,S,S,N,Privada,URBANA
26157314,ESCOLA EDUCAR-BEM ESTAR SOCIAL,17,7,0,1,Em Atividade,S,S,N,N,S,N,Privada,URBANA
26147556,ACADEMIA NOSSA SENHORA DE FATIMA,10,7,0,2,Em Atividade,N,S,N,N,N,S,Privada,URBANA
26146231,ESCOLA JESUS MESTRE,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
